,time,close,trade
184,2019/7/16,5.3,100.0
185,2019/7/17,5.28,400.0
186,2019/7/18,5.24,0.0
187,2019/7/19,5.29,-600.0
188,2019/7/2,5.44,0.0
189,2019/7/22,5.26,500.0
190,2019/7/23,5.26,0.0
191,2019/7/24,5.28,0.0
192,2019/7/25,5.29,200.0
193,2019/7/26,5.28,0.0
194,2019/7/29,5.25,0.0
195,2019/7/3,5.38,0.0
196,2019/7/30,5.26,0.0
197,2019/7/31,5.27,300.0
198,2019/7/4,5.45,-1000.0
199,2019/7/5,5.42,0.0
200,2019/7/8,5.33,0.0
201,2019/7/9,5.26,0.0
202,2019/8/1,5.23,0.0
203,2019/8/12,4.99,0.0
204,2019/8/13,4.94,0.0
205,2019/8/14,4.97,0.0
206,2019/8/15,4.97,1100.0
207,2019/8/16,4.97,100.0
208,2019/8/19,5.04,0.0
209,2019/8/2,5.13,0.0
210,2019/8/20,5.05,0.0
211,2019/8/21,5.03,0.0
212,2019/8/22,5.01,0.0
213,2019/8/23,5.01,0.0
214,2019/8/26,4.97,0.0
215,2019/8/27,4.99,0.0
216,2019/8/28,4.98,0.0
217,2019/8/29,4.99,0.0
218,2019/8/30,4.98,-1200.0
219,2019/8/5,5.04,0.0
220,2019/8/6,4.99,200.0
221,2019/8/7,4.97,200.0
222,2019/8/8,4.98,200.0
223,2019/8/9,4.98,0.0
224,2019/9/10,5.22,-600.0
225,2019/9/11,5.26,0.0
226,2019/9/12,5.21,200.0
227,2019/9/16,5.35,0.0
228,2019/9/17,5.16,0.0
229,2019/9/18,5.07,0.0
230,2019/9/19,5.09,100.0
231,2019/9/2,5.02,-300.0
232,2019/9/20,5.07,0.0
233,2019/9/23,5.05,0.0
234,2019/9/24,5.04,0.0
235,2019/9/25,5.01,0.0
236,2019/9/26,5.0,0.0
237,2019/9/27,4.99,0.0
238,2019/9/3,5.02,0.0
239,2019/9/30,5.02,0.0
240,2019/9/4,5.09,0.0
241,2019/9/5,5.11,0.0
242,2019/9/6,5.15,700.0
243,2019/9/9,5.19,0.0
244,2020/1/10,5.16,200.0
245,2020/1/13,5.14,-900.0
246,2020/1/14,5.14,0.0
247,2020/1/15,5.09,200.0
248,2020/1/16,5.07,0.0
249,2020/1/17,5.07,100.0
250,2020/1/2,5.17,200.0
251,2020/1/20,5.05,0.0
252,2020/1/21,5.01,0.0
253,2020/1/22,4.98,-500.0
254,2020/1/23,4.94,100.0
255,2020/1/3,5.27,0.0
256,2020/1/6,5.36,-100.0
257,2020/1/7,5.25,0.0
258,2020/1/8,5.28,0.0
259,2020/1/9,5.19,0.0
260,2020/10/12,3.96,0.0
261,2020/10/13,3.94,0.0
262,2020/10/14,3.92,0.0
263,2020/10/15,3.92,0.0
264,2020/10/16,3.93,0.0
265,2020/10/19,3.92,0.0
266,2020/10/20,3.93,400.0
267,2020/10/21,3.93,-400.0
268,2020/10/22,3.92,400.0
269,2020/10/23,3.9,0.0
270,2020/10/26,3.9,100000.0
271,2020/10/27,3.88,77600.0
272,2020/10/28,3.88,-100000.0
