600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
0,0,0,0,0,0,0,300,0,100,100,0,1600,0,0
0,0,0,0,0,0,0,300,0,200,-100,0,0,0,0
0,0,0,200,0,0,0,-600,0,100,0,0,-1600,0,18000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,200,18400,0,0,0,-18000
0,0,0,0,0,0,0,2500,0,-600,-18400,0,1600,0,0
0,0,0,200,0,0,0,-2500,0,0,0,0,0,0,200
0,0,0,100000,100,0,0,0,0,21100,0,0,-1600,0,0
0,0,0,93300,0,0,0,0,0,-21100,0,0,0,0,-200
0,0,39000,-42100,0,0,0,0,0,0,0,0,0,0,0
0,0,-800,100,-100,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-20300,-3000,100,0,0,200,0,0,0,100,200,0,-100
0,0,-17900,1000,-100,0,0,-200,0,0,0,0,-200,0,3900
0,0,0,-9200,0,300,0,0,0,0,0,700,400,0,-3900
0,0,0,-55700,0,-300,0,0,0,0,0,18800,-400,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19100,0,0,0,100000,0,0,0,-19600,0,0,0
0,0,0,400,0,0,1300,-18400,0,0,0,0,100,0,0
200,0,0,-15700,0,0,-1300,0,0,0,0,1800,100,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-81600,0,0,0,0,700,0,0
-200,0,100000,0,0,100,0,0,0,16800,0,0,-900,0,0
0,0,-100000,-39000,0,-100,0,100,0,-16800,0,-1800,0,0,17300
0,0,300,-49800,0,0,0,-100,0,62100,0,0,0,0,-17300
0,0,-300,400,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,700,0,-62100,200,0,1300,0,0
0,0,0,900,0,0,0,-700,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1300,0,0,100,0,0,100,0,0,0,0,0
0,0,0,200,0,0,-100,0,0,100,0,0,-1300,0,20700
0,0,0,-200,0,100,0,0,0,0,18200,0,0,0,-20700
0,0,0,0,0,-100,0,500,0,-200,-18400,0,0,0,21500
0,0,0,100,0,0,0,-500,0,71300,0,0,0,0,-21500
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-200,0,400,0,0,0,-33500,10500,0,0,0,0
0,0,0,1200,0,-400,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1200,0,0,0,0,0,200,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,-38000,0,0,0,33300,0
0,0,0,0,0,0,0,-100,41500,0,-10500,0,0,0,0
0,0,0,0,0,0,0,10600,0,0,0,0,800,-33300,0
0,0,0,0,0,0,0,0,-37400,0,0,0,-800,0,24500
0,0,0,0,0,0,0,-10600,-4100,1400,0,0,100,0,0
0,0,200,0,0,0,200,0,0,0,16700,0,-100,0,-18900
0,0,-200,400,0,0,0,0,0,4400,-16700,0,-100,0,19700
0,0,0,100,0,0,0,0,0,100,400,0,1600,0,-25300
0,0,0,0,0,0,-200,0,0,300,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,200,0,100,0,-6200,1800,0,0,0,0
0,0,0,100,0,0,0,-100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,-1500,0,22700
0,0,0,100,0,-200,0,-100,0,0,20500,0,0,0,-22700
0,0,0,0,0,0,0,300,0,0,-22700,0,0,61400,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-700,0,0,0,13000,0,0,0,0,1600,-61400,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-13300,0,0,0,1500,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,200,0,0,0,0,0,0,0,-1500,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,200,0,0,-1600,0,23600
0,0,0,-300,0,0,0,0,0,0,22600,0,0,0,-24600
0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,400,0,0,-22600,0,0,0,24900
0,0,0,100,0,0,0,-600,0,0,500,0,1600,0,-24900
0,0,0,100000,0,0,0,0,0,-200,-500,0,-1600,41900,0
0,0,0,0,0,0,0,0,0,100,0,0,0,-41900,18000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,0,0,0,0,0,42900,-18000
0,0,0,-100000,0,0,0,-200,0,100,0,0,0,0,8700
0,0,0,-100,0,0,0,0,0,100,500,0,2600,-42900,-8700
0,0,0,0,0,0,0,0,0,200,-500,0,0,0,400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,300,0,0,0,0,0,74300,0,0,-2600,0,-400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-300,0,0,0,300,0,0,0,0,0,0,0
0,0,0,300,0,0,0,-300,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3400,0,-3400,0,0,100,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-300,0,100,0,100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,400,0,0,0,-3500,0,0,300,0,0,0,0
0,0,0,200,0,-100,0,0,0,0,1100,0,-100,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-600,0,0,0,500,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,-58100,26400,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,500,0,-13300,0,0,500,0,0
0,0,0,0,0,0,0,0,0,0,-27800,0,0,59900,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,100,0,100,0,-59900,22500
0,0,0,700,0,0,0,-1100,0,0,900,-100,400,0,-4100
0,0,300,0,0,0,47800,0,0,0,0,0,0,0,-18400
500,0,-300,-800,0,0,-47800,0,0,0,39100,0,-900,0,0
-500,0,0,0,0,0,0,600,0,-100,0,100,0,0,0
0,0,0,800,0,0,0,0,0,0,0,-100,0,0,0
0,0,0,500,0,0,100,0,0,0,-40000,0,0,0,28500
0,0,300,-1300,0,0,-100,0,0,0,39900,0,0,0,-28500
0,0,-300,0,100,0,0,0,0,0,-39900,0,0,85500,0
0,0,0,400,-100,0,0,0,0,0,0,0,0,0,0
0,0,0,-400,0,0,0,300,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,300,0,0,0,0,0,-58600,20100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-1200,0,200,39600,0,0,-26900,-20100
0,0,0,0,0,100,0,0,0,0,-39600,0,0,83500,0
0,0,0,0,0,-100,0,200,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12700,0,0,-26300,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,27500,0,0,-57200,0
0,0,0,100,0,0,0,100,0,-200,-40200,0,0,0,26000
0,0,500,0,0,0,0,-400,0,0,37900,0,0,0,-26000
0,0,-500,200,0,0,0,0,0,0,-37900,0,0,79400,0
0,0,0,-300,0,0,0,100,0,0,0,0,0,-79400,29700
0,0,0,100,0,0,0,-100,0,100,39100,0,0,0,-29700
0,0,0,0,0,300,0,0,0,0,-39100,0,0,0,38300
0,0,300,-100,0,-300,100,0,0,-100,38500,0,0,0,-38300
0,0,-300,0,0,0,-100,0,0,93500,-38500,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,500,0,0,0,0,0,-2000,800,0,0,0,0
0,0,0,-500,0,0,0,500,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-500,0,100,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,400,0,-58900,24000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,0,0,1100,0,-32700,0,0,900,0,0
0,0,0,100,0,0,0,500,0,0,-24800,56500,-900,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-200,0,0,0,100,0,0,0,-56500,0,0,31300
0,0,0,400,0,0,0,-2100,0,0,39200,0,0,0,-31300
0,0,0,100,0,0,0,0,0,0,-38100,0,0,68000,0
0,0,0,0,0,0,0,900,0,0,0,0,0,-46500,23600
0,0,0,-500,0,0,0,-900,0,0,900,0,2400,-21500,-23600
0,0,0,100000,0,100000,0,0,0,0,0,9100,-2400,0,0
0,0,0,-79400,0,-100000,0,0,0,72700,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,5700,-9100,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,300,0,0,0,0,0,-12700,0,0,0,0,4600
0,0,0,100,0,100,0,0,0,100,4700,0,0,0,-4600
0,0,0,-8100,0,-100,0,100,0,200,600,0,0,0,0
0,0,0,-13000,0,100,0,-100,0,100,1000,0,0,0,0
0,0,0,400,0,0,0,0,0,-60400,23100,0,0,0,0
0,0,0,0,0,0,0,400,0,0,-37100,0,0,0,37800
0,0,0,-400,0,-100,0,-400,0,93900,0,0,0,0,-37800
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,100,0,300,0,0,0,-45300,0,0,0,0,18000
0,0,0,400,0,-300,0,0,0,-48600,400,0,2600,0,-18000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-600,0,200,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-200,1000,0,0,100000,-400,0,-2600,0,0
0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,200,0,0,-1000,0,0,100,500,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,300,0,0,0,0,0,-12200,400,0,300,0,0
0,0,0,-1000,0,0,0,900,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1100,0,0,0,0,0,-42500,15400,0,0,0,0
0,0,0,100,0,7400,0,0,0,-3800,0,0,0,0,0
0,0,0,0,0,-7400,0,200,0,200,5700,0,-300,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,-11300,1700,700,0,0
0,0,0,0,0,0,0,12100,0,0,0,-1700,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,600,0,0,0,0,-13300,0,-41800,26000,0,-700,0,0
0,0,-600,0,0,0,0,0,0,0,-36700,0,0,69900,0
0,0,0,-1200,0,0,0,300,0,0,0,2400,2100,-62800,0
0,0,0,0,0,0,0,600,0,0,0,800,300,-7100,0
0,0,0,200,0,0,0,-900,0,5600,0,-3200,0,0,0
0,0,0,200,0,0,0,0,0,200,0,0,-2400,0,35100
0,0,0,200,0,0,0,0,0,0,34700,0,0,0,-35100
0,0,0,0,0,0,0,300,0,0,-34700,0,0,0,35500
0,0,0,-600,0,0,84300,-300,0,0,0,0,0,0,-35500
0,0,17300,0,0,0,-84300,0,0,-5800,0,0,-100,0,38500
0,0,-17300,200,0,0,0,0,0,0,41500,0,0,0,-38500
0,0,0,0,0,0,0,900,0,0,-34100,0,2400,0,900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,300,0,0,-7400,0,0,17900,-900
0,0,0,100,0,0,0,200,0,100,0,0,0,-17900,8100
0,0,300,-300,0,0,0,-1400,0,0,100,0,0,0,0
0,0,600,0,0,0,0,0,0,0,40500,0,-2300,0,-8100
0,0,-900,0,0,0,0,300,0,-100,-40600,100,0,0,42500
0,0,1100,0,0,0,0,-300,0,0,0,-100,0,0,0
0,0,-1100,0,0,400,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,38700,0,0,0,-42500
0,0,0,0,0,0,0,100,0,0,-38700,0,0,100,41700
0,0,100,0,0,-400,0,-100,0,100,42100,0,0,-100,-41700
0,0,0,0,0,0,0,200,0,0,-29600,54000,0,0,0
0,0,-100,0,0,200,0,0,0,-100,-12500,0,0,0,12300
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,700,0,-200,0,-200,0,0,0,-36400,0,44700,0
0,0,0,0,0,0,0,0,0,200,0,-17600,0,-44700,30000
0,0,0,200,0,0,100,0,0,-200,39300,0,0,0,-42300
0,0,0,-900,0,0,-100,200,0,0,-39300,0,0,0,41900
0,0,0,0,0,0,88000,-200,0,0,0,0,0,0,-41900
0,0,0,200,0,0,-79000,0,0,0,34600,0,0,0,0
0,0,0,0,0,0,-9000,500,0,0,-34600,0,0,-100,39800
0,0,7000,100,0,0,0,-500,0,0,0,0,3100,0,-39800
0,0,-7000,200,0,0,0,0,0,0,40400,0,-3100,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,-40400,0,0,100,41500
0,0,0,-500,0,0,0,-100,0,2300,0,0,3500,0,-41500
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
0,0,0,0,0,100,0,-100,0,0,44900,0,-3500,0,0
0,0,0,0,0,-100,0,500,0,-2300,0,0,0,1700,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1400,0,0,-44900,19700,0,100000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,0,0,0,-19700,0,0,16200
0,0,0,0,0,0,0,1200,0,0,0,0,0,-100000,26800
0,0,100,0,0,0,1500,-3300,0,0,0,0,0,-1700,0
0,0,-100,400,0,0,0,0,0,100,45600,0,0,0,-43000
0,0,0,-400,0,0,-1500,100,0,-100,-45600,0,0,0,43200
0,0,0,400,0,0,0,-100,0,0,40500,0,0,0,-37200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22900,0,0,100000,0,100000,0,100000,0,0,-40500,0,0,0,0
300,0,0,77600,70300,-100000,0,-41200,0,0,10500,0,0,0,-6000
-3200,0,0,-100000,100,0,0,100,0,100,0,0,0,0,4400
0,0,0,0,-70400,0,0,500,0,0,1500,0,1400,0,-4400
0,0,0,-78000,0,0,0,300,100,0,0,1700,100,0,0
-11900,0,0,0,0,0,0,-59700,200,0,-12000,20800,0,0,0
-8100,0,0,0,0,0,0,100,0,100,0,800,0,0,0
0,0,0,0,0,0,0,300,0,3000,0,-13700,600,0,0
0,0,0,600,0,0,0,0,-300,100,0,-9600,500,0,0
0,0,0,-600,100,0,0,-400,0,0,0,0,0,0,0
0,0,0,400,-100,100,0,0,0,0,0,0,0,0,0
0,0,0,600,0,-100,0,0,0,0,0,0,0,0,0
0,0,0,400,200,0,0,0,0,0,50700,0,-2600,0,0
0,0,0,0,-200,0,0,100,0,-3300,-50700,0,0,300,49800
0,0,0,0,0,0,100,-100,0,0,49100,0,0,-300,-49800
0,0,0,0,0,0,-100,1600,0,0,-48100,0,0,0,46000
0,0,200,-1400,0,0,91400,-1600,0,0,0,0,0,0,-46000
0,0,-200,100,0,0,-91400,0,0,0,47000,0,0,0,0
0,0,0,0,0,0,0,1000,0,0,-48000,49000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,25800,0,0,0,-42500,600,100000,0
0,0,0,-100,0,0,0,100,0,0,0,0,0,0,0
0,0,0,100,0,0,0,300,0,100,1700,0,1300,-100000,0
0,0,0,0,0,0,0,-27200,0,100,0,40300,-1900,0,0
200,0,0,-100,0,0,0,0,0,2900,-1700,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,0,0,500,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,500,100,0,0,0,0,0,3100,0,-46800,2000,0,0
0,0,-500,600,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,35700
0,0,400,-1200,0,0,0,0,0,100,37200,0,0,0,-35700
0,0,-400,1800,0,0,0,0,0,0,-37200,1200,1900,0,0
0,0,0,0,0,0,0,900,0,0,34600,-1200,-1900,0,0
0,0,0,0,0,0,0,200,0,100,-34600,1600,1900,0,0
0,0,0,1700,0,0,0,0,0,-800,400,0,0,0,0
0,0,0,100,0,0,0,-1100,0,0,0,-1600,0,6000,0
0,0,0,1100,0,0,0,0,0,0,34900,0,-1900,-6000,0
0,0,0,0,0,0,0,1000,0,-5600,-28000,0,0,0,33400
0,0,800,0,0,0,0,-1000,0,0,0,0,0,0,0
0,0,-800,-4700,0,0,100,0,0,2700,-7300,0,2100,0,-33400
0,0,0,600,0,0,-100,0,0,0,14100,0,-2100,100000,0
0,0,0,-600,0,0,0,0,100,0,0,0,0,-70100,17400
0,0,0,100,0,0,0,0,-100,0,500,0,900,100,-17400
0,0,0,-100,0,0,0,1100,0,100,1000,0,300,-30000,0
0,0,0,0,0,0,0,100,0,-2800,-15600,0,0,79900,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1200,0,0,0,1200,1000,-79900,0
0,0,0,600,0,0,0,-2400,0,100,0,-1200,0,0,1000
0,0,0,20000,0,0,0,0,0,0,0,0,0,0,-1000
0,0,0,100000,0,0,100,0,0,-100,0,38800,-2200,0,0
0,0,0,300,0,0,-100,0,0,0,0,-38800,0,0,20000
100,0,0,0,0,0,0,0,0,100,0,1200,1700,0,-20000
-100,0,0,0,0,0,0,500,0,-100,0,0,-1700,0,19300
0,0,0,-27100,0,0,0,0,5700,0,0,0,0,0,0
0,0,0,0,0,0,0,-500,0,100,0,0,0,0,0
0,0,0,-33100,0,100,49700,80000,-5700,0,0,-1200,0,0,-19300
100,0,0,0,0,-100,0,100,0,0,0,0,0,0,0
300,0,0,-60700,0,0,-49700,-80100,0,-100,0,48800,0,0,0
0,0,0,100,0,0,0,0,0,300,0,-48800,0,0,23700
-400,0,0,0,0,0,0,0,0,200,27200,0,0,0,-23700
0,0,0,-100,0,0,0,0,0,-500,-27200,0,0,66500,0
0,0,0,0,0,0,0,200,0,0,0,0,1800,-54400,0
0,0,0,0,0,0,0,100,0,0,1100,0,300,-12100,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,100,0,-300,0,0,25100,0,-2100,0,0
0,0,0,300,0,-100,0,0,0,0,0,0,0,0,0
0,0,0,400,0,0,0,0,0,0,-2600,0,0,7200,0
0,0,0,-700,0,0,0,600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,300,0,0,-23600,0,0,0,22100
0,0,0,200,0,0,0,-900,0,9300,0,0,0,-7200,0
0,0,100,-200,0,0,0,0,0,0,0,0,0,0,0
0,0,-100,400,0,0,100,0,0,0,7200,0,0,0,-6700
0,0,0,100,0,0,-100,0,0,40400,0,0,0,0,-12800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-500,0,0,0,500,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200,0,-49700,0,0,0,59100,-2600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,200,0,-59100,19900
0,0,0,6400,0,0,0,-700,0,0,-7200,-200,2200,0,-19900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100,0,0,0,0,-2200,67200,0
0,0,0,-6400,0,0,0,200,0,300,0,0,0,0,200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,400,0,0,0,0,0,-67200,26200
0,0,0,0,0,100,0,-700,0,0,30900,0,0,0,-26400
0,0,0,100,0,-100,0,0,0,-300,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-30900,0,0,0,30100
0,0,0,-100,0,0,0,0,0,0,900,0,2300,0,-30200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,200,0,0,-2300,0,29500
0,0,0,600,0,0,0,0,0,100,27700,0,0,0,-29500
0,0,0,0,0,0,0,200,0,-300,-28600,0,0,74500,0
0,0,0,0,0,0,0,100,50200,0,0,0,0,-26300,0
0,0,0,0,0,0,0,500,-9400,100,0,0,0,-41400,17600
0,0,0,-600,0,0,0,100,-40800,20700,0,0,0,0,0
0,0,0,0,0,0,200,-900,0,0,20200,0,0,-6800,-17600
0,0,0,0,0,0,0,400,0,-19700,0,17000,0,0,0
0,0,0,0,0,0,-200,100,0,1900,-20200,-3000,1600,0,0
